session_id,project_id,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
20919,263,1449,19165,female,guest,20,elaboration_1,92820041,1,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,help_2,92820046,2,3,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,enviroment_7,92820065,3,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_2,92820024,4,2,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,critical_5,92820059,5,2,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,rehersal_2,92820034,6,4,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,self_efficacy_2,92819994,7,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,task_value_3,92820005,8,7,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,organisation_2,92820030,9,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,effort_4,92820062,10,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,enviroment_3,92820040,11,3,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,anxiety_5,92820016,12,4,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_3,92820029,13,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_12,92820067,14,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_1,92820021,15,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_9,92820049,16,4,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,control_4,92820013,17,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_10,92820064,18,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,task_value_4,92820011,19,7,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,effort_2,92820036,20,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,critical_3,92820039,21,3,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,task_value_6,92820015,22,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_7,92820044,23,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,anxiety_4,92820007,24,2,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_6,92820043,25,4,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,extrinsic_2,92819999,26,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,extrinsic_1,92819995,27,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,extrinsic_4,92820018,28,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,organisation_1,92820020,29,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,enviroment_6,92820061,30,7,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,effort_1,92820025,31,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,rehersal_3,92820047,32,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,elaboration_3,92820052,33,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,self_efficacy_6,92820009,34,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,control_1,92819990,35,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,elaboration_2,92820050,36,2,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,enviroment_4,92820053,37,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,elaboration_6,92820069,38,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,control_2,92819997,39,6,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,peer_3,92820038,40,3,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_5,92820042,41,2,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_11,92820066,42,2,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,task_value_1,92819992,43,3,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
20919,263,1449,19165,female,guest,20,meta_4,92820032,44,5,2020-01-14T11:02:58Z,2020-01-14T11:12:04Z
